Date,Close,Open,High,Low
01-01-2008,113.052,113.402,113.699,112.377
02-01-2008,116.02,114.252,116.681,114.252
03-01-2008,117.247,117.072,117.76,115.628
04-01-2008,116.789,116.708,117.612,115.615
07-01-2008,116.289,116.721,117.072,115.817
08-01-2008,118.758,118.448,119.257,117.895
09-01-2008,118.947,119.373,119.402,117.894
10-01-2008,120.542,117.5,121.034,117.094
11-01-2008,121.084,120.551,121.406,120.209
14-01-2008,121.837,122.776,123.001,121.714
15-01-2008,121.73,122.279,123.511,120.646
16-01-2008,118.919,119.668,121.128,117.486
17-01-2008,118.704,119.521,120.204,118.222
18-01-2008,118.852,118.892,119.883,118.196
21-01-2008,118.852,118.892,119.883,118.196
22-01-2008,119.936,116.214,120.646,116.214
23-01-2008,118.905,119.454,120.699,118.048
24-01-2008,121.998,121.195,122.694,120.927
25-01-2008,122.668,123.98,124.167,122.038
28-01-2008,124.89,123.538,125.238,123.498
29-01-2008,124.622,124.85,125.118,123.846
30-01-2008,124.02,124.582,124.796,123.324
31-01-2008,124.247,124.649,124.984,123.725
01-02-2008,122.306,125.72,126.001,121.637
04-02-2008,121.757,121.342,121.945,119.963
05-02-2008,119.2,119.588,120.833,118.945
06-02-2008,121.168,120.579,122.105,120.258
07-02-2008,121.837,121.529,122.44,120.512
08-02-2008,123.484,122.748,123.779,122.239
11-02-2008,124.073,124.341,124.462,123.123
12-02-2008,121.985,123.123,123.779,121.463
13-02-2008,121.864,121.034,122.44,120.673
14-02-2008,121.945,121.998,122.614,121.141
15-02-2008,121.315,122.293,123.042,120.579
18-02-2008,121.315,122.293,123.042,120.579
19-02-2008,124.488,123.538,125.104,123.498
20-02-2008,125.559,123.819,125.774,122.654
21-02-2008,127.086,126.657,128.318,126.055
22-02-2008,126.898,127.019,127.528,125.6
25-02-2008,125.921,127.514,132.548,125.252
26-02-2008,127.046,125.493,131.143,125.252
27-02-2008,128.666,128.907,129.067,127.728
28-02-2008,129.536,128.786,129.871,128.425
29-02-2008,130.54,129.67,130.808,129.362
03-03-2008,131.772,131.611,132.816,131.41
04-03-2008,129.375,132.401,132.441,128.893
05-03-2008,132.348,129.161,133.245,128.96
06-03-2008,130.821,132.281,132.548,129.402
07-03-2008,130.433,131.692,132.642,130.005
10-03-2008,130.109,129.842,130.893,128.799
11-03-2008,130.676,131.798,132.242,129.345
12-03-2008,131.269,130.032,131.645,130.032
13-03-2008,133.053,133.213,134.069,132.794
14-03-2008,133.799,133.293,135.025,132.773
17-03-2008,134.172,136.97,137.09,133.093
18-03-2008,134.398,135.171,135.571,134.012
19-03-2008,126.525,132.373,132.44,125.965
20-03-2008,123.141,124.406,124.406,122.395
21-03-2008,123.141,124.406,124.406,122.395
24-03-2008,122.994,122.035,124.14,122.035
25-03-2008,125.193,124.833,125.432,123.834
26-03-2008,127.124,127.084,127.537,125.952
27-03-2008,127.098,126.964,127.284,125.912
28-03-2008,124.766,126.631,126.671,123.634
31-03-2008,122.768,125.206,125.992,122.541
01-04-2008,118.278,120.103,120.49,116.746
02-04-2008,119.93,119.211,120.143,117.918
03-04-2008,121.182,119.624,121.662,118.838
04-04-2008,121.662,121.142,121.835,120.303
07-04-2008,123.474,122.568,124.393,122.128
08-04-2008,122.302,122.861,122.861,121.422
09-04-2008,124.899,121.116,125.046,121.009
10-04-2008,124.14,125.312,125.526,123.234
11-04-2008,123.501,123.967,124.673,122.635
14-04-2008,123.727,124.02,124.62,123.407
15-04-2008,124.167,125.006,125.206,123.767
16-04-2008,126.338,125.326,126.924,125.219
17-04-2008,125.619,125.939,126.698,125.446
18-04-2008,121.928,123.327,123.554,120.876
21-04-2008,122.248,122.874,124.153,121.769
22-04-2008,123.261,122.928,123.7,122.341
23-04-2008,121.102,121.529,121.702,119.637
24-04-2008,118.491,120.556,121.142,117.838
25-04-2008,118.531,118.438,119.77,118.065
28-04-2008,119.304,119.051,119.65,118.491
29-04-2008,116.813,117.918,119.371,116.413
30-04-2008,115.254,115.96,117.026,115.174
01-05-2008,113.362,115.294,115.56,113.042
02-05-2008,114.308,113.842,114.694,112.763
05-05-2008,116.453,115.747,116.559,115.36
06-05-2008,116.932,117.159,117.838,116.306
07-05-2008,116.067,116.106,116.173,115.161
08-05-2008,117.515,116.258,118.153,116.216
09-05-2008,118.012,118.238,118.36,116.092
12-05-2008,117.892,117.579,118.445,117.122
13-05-2008,115.872,117.346,117.441,114.773
14-05-2008,115.461,115.249,116.098,115.064
15-05-2008,117.225,115.289,118.339,115.289
16-05-2008,119.877,119.2,120.619,119.068
19-05-2008,120.685,121.6,121.653,119.837
20-05-2008,122.595,120.911,123.099,120.699
21-05-2008,123.735,123.178,124.067,122.157
22-05-2008,122.383,123.032,123.735,122.277
23-05-2008,123.39,123.298,123.841,122.807
26-05-2008,123.39,123.298,123.841,122.807
27-05-2008,121.03,123.085,123.152,120.434
28-05-2008,119.996,118.869,120.394,118.405
29-05-2008,116.907,119.015,119.161,116.23
30-05-2008,118.206,118.14,118.378,117.371
02-06-2008,118.935,118.047,119.492,117.967
03-06-2008,117.41,118.816,119.002,116.416
04-06-2008,117.185,117.304,118.02,116.92
05-06-2008,116.084,115.965,117.119,115.05
06-06-2008,119.2,117.583,119.704,117.45
09-06-2008,119.081,120.076,120.341,118.431
10-06-2008,115.514,118.073,118.299,114.891
11-06-2008,117.066,116.323,117.463,116.323
12-06-2008,115.62,115.276,115.872,106.67
13-06-2008,115.766,114.745,115.859,114.666
16-06-2008,117.516,116.588,118.975,116.522
17-06-2008,117.596,117.278,117.954,116.177
18-06-2008,118.471,117.901,118.869,117.013
19-06-2008,119.89,118.06,120.792,117.954
20-06-2008,119.824,120.235,120.672,119.399
23-06-2008,117.636,120.049,120.062,116.336
24-06-2008,118.219,117.967,118.869,117.265
25-06-2008,116.986,117.755,118.02,116.045
26-06-2008,121.335,119.187,121.72,119.161
27-06-2008,123.483,122.489,123.709,121.879
30-06-2008,123.085,124.014,124.027,122.011
01-07-2008,125.233,123.298,125.764,123.205
02-07-2008,125.499,124.372,125.684,124.093
03-07-2008,123.788,125.446,125.605,123.046
04-07-2008,123.788,125.446,125.605,123.046
07-07-2008,123.152,122.502,123.377,121.494
08-07-2008,122.422,122.688,122.78,121.057
09-07-2008,123.132,121.954,123.364,121.695
10-07-2008,124.911,123.28,125.426,123.1
11-07-2008,127.386,126.577,128.466,126.445
14-07-2008,129.108,127.047,129.408,126.555
15-07-2008,129.751,130.84,131.115,128.505
16-07-2008,127.639,129.029,130.197,127.048
17-07-2008,128.701,127.298,129.803,126.406
18-07-2008,127.035,127.075,127.717,126.012
21-07-2008,127.796,128.072,128.15,127.088
22-07-2008,125.776,129.266,129.318,124.962
23-07-2008,122.391,124.543,125.225,122.247
24-07-2008,122.312,122.378,123.126,121.473
25-07-2008,122.916,123.283,123.441,121.84
28-07-2008,123.034,123.126,123.716,122.352
29-07-2008,121.538,122.535,122.785,121.079
30-07-2008,119.688,120.436,120.554,118.429
31-07-2008,121.053,120.58,122.601,120.213
01-08-2008,120.371,120.777,121.486,119.426
04-08-2008,119.111,119.518,120.476,118.468
05-08-2008,116.251,117.196,117.642,115.962
06-08-2008,115.844,117.301,117.366,115.516
07-08-2008,115.175,116.763,116.999,114.992
08-08-2008,113.457,114.283,114.401,112.499
11-08-2008,108.668,113.942,113.955,108.235
12-08-2008,106.871,108.13,109.363,106.7
13-08-2008,109.088,108.065,109.731,107.645
14-08-2008,106.858,109.941,110.019,106.267
15-08-2008,103.919,104.378,105.742,102.777
18-08-2008,105.703,104.457,106.136,104.352
19-08-2008,107.159,104.811,107.684,103.853
20-08-2008,107.094,107.343,108.091,105.637
21-08-2008,110.072,109.311,110.859,108.668
22-08-2008,109.35,108.668,109.809,108.379
25-08-2008,108.327,108.406,109.14,107.645
26-08-2008,108.642,106.871,111.987,106.831
27-08-2008,109.416,109.928,110.387,108.629
28-08-2008,109.836,110.846,111.476,108.957
29-08-2008,109.573,109.914,110.623,109.416
01-09-2008,109.573,109.914,110.623,109.416
02-09-2008,106.333,106.661,106.897,104.326
03-09-2008,106.031,105.323,106.726,104.942
04-09-2008,105.375,106.858,107.225,104.706
05-09-2008,105.323,105.323,108.13,104.68
08-09-2008,105.283,107.015,107.973,105.06
09-09-2008,103.906,105.113,105.362,98.658
10-09-2008,100.035,101.898,103.342,99.904
11-09-2008,97.805,98.081,99.301,97.057
12-09-2008,100.298,99.498,100.482,98.002
15-09-2008,103.25,101.466,103.355,100.796
16-09-2008,102.397,103.25,104.168,101.912
17-09-2008,111.581,103.132,113.391,102.791
18-09-2008,117.681,116.12,121.486,112.932
19-09-2008,113.444,110.977,115.451,110.872
22-09-2008,119.255,116.737,119.78,115.293
23-09-2008,116.92,118.258,119.308,116.172
24-09-2008,117.419,117.471,119.098,116.199
25-09-2008,115.713,116.894,117.616,113.981
26-09-2008,116.566,116.448,120.712,116.172
29-09-2008,117.34,116.684,119.78,115.464
30-09-2008,115.556,118.18,118.403,114.795
01-10-2008,116.409,114.69,117.904,114.611
02-10-2008,110.767,114.637,114.795,109.35
03-10-2008,109.311,110.859,111.869,107.907
06-10-2008,113.64,112.827,115.32,112.355
07-10-2008,115.713,115.425,117.248,114.204
08-10-2008,118.927,118.809,124.503,118.245
09-10-2008,116.304,116.579,117.576,115.831
10-10-2008,112.696,120.908,121.092,110.374
13-10-2008,110.531,112.46,113.457,108.17
14-10-2008,110.137,111.187,112.355,109.377
15-10-2008,110.072,110.872,112.722,109.298
16-10-2008,105.546,109.39,110.505,103.21
17-10-2008,103.342,103.538,104.155,101.308
20-10-2008,103.643,104.824,105.1,103.132
21-10-2008,100.757,102.148,102.62,100.547
22-10-2008,96.454,98.92,99.904,95.181
23-10-2008,93.764,92.676,96.218,91.206
24-10-2008,95.811,91.127,98.448,91.114
27-10-2008,97.464,94.971,98.107,93.738
28-10-2008,97.149,98.54,98.645,95.549
29-10-2008,98.92,98.409,101.715,98.146
30-10-2008,96.887,100.862,100.875,96.323
31-10-2008,94.224,95.339,97.307,94.079
03-11-2008,95.352,96.257,96.336,94.998
04-11-2008,99.353,97.503,100.363,96.887
05-11-2008,97.398,99.97,100.14,96.519
06-11-2008,96.06,97.333,99.878,95.444
07-11-2008,96.323,96.979,97.635,95.929
10-11-2008,97.933,98.515,100.841,97.185
11-11-2008,96.122,96.719,96.937,95.218
12-11-2008,94.207,95.543,95.758,93.324
13-11-2008,92.435,93.519,95.095,91.545
14-11-2008,97.394,96.269,98.729,95.758
17-11-2008,97.302,97.407,98.14,95.719
18-11-2008,95.994,96.112,97.603,95.811
19-11-2008,96.373,96.504,100.103,94.999
20-11-2008,98.061,97.957,98.663,96.334
21-11-2008,103.688,98.846,104.983,98.781
24-11-2008,107.352,107.051,108.739,106.331
25-11-2008,107.365,105.913,109.197,105.546
26-11-2008,106.161,106.606,107.902,105.939
27-11-2008,106.161,106.606,107.902,105.939
28-11-2008,107.169,106.2,107.47,106.07
01-12-2008,101.647,103.596,104.068,100.534
02-12-2008,102.497,102.039,103.138,101.764
03-12-2008,100.822,101.477,102.589,99.985
04-12-2008,100.168,100.207,103.374,99.841
05-12-2008,98.428,100.299,100.809,96.988
08-12-2008,100.665,100.835,102.432,100.26
09-12-2008,101.307,100.757,102.157,99.776
10-12-2008,105.834,103.282,106.501,103.099
11-12-2008,108.163,108.857,109.302,107.404
12-12-2008,107.365,106.986,108.569,106.253
15-12-2008,109.459,108.386,110.401,107.43
16-12-2008,110.27,109.21,110.309,108.948
17-12-2008,113.646,111.722,115.622,111.722
18-12-2008,112.612,114.549,114.797,111.068
19-12-2008,109.576,109.576,110.27,109.066
22-12-2008,110.859,110.466,111.618,110.427
23-12-2008,109.668,110.741,110.95,108.582
24-12-2008,110.963,109.681,111.055,109.315
25-12-2008,110.963,109.681,111.055,109.315
26-12-2008,113.999,111.042,114.366,110.636
29-12-2008,114.536,115.727,116.106,114.379
30-12-2008,113.842,113.528,114.614,113.149
31-12-2008,115.713,112.992,115.936,112.18
01-01-2009,115.713,112.992,115.936,112.18
02-01-2009,115.085,113.947,115.151,113.698
05-01-2009,112.246,111.749,112.481,110.375
06-01-2009,113.319,110.466,113.515,110.322
07-01-2009,110.139,112.717,113.541,109.393
08-01-2009,111.814,110.44,113.227,109.982
09-01-2009,111.882,112.285,113.733,110.592
12-01-2009,107.431,110.36,111.071,106.943
13-01-2009,107.398,107.331,108.732,106.766
14-01-2009,105.833,108.105,108.109,105.641
15-01-2009,105.677,106.121,107.519,104.971
16-01-2009,109.935,108.381,110.118,108.342
19-01-2009,109.935,108.381,110.118,108.342
20-01-2009,111.921,111.424,113.423,110.797
21-01-2009,111.254,112.038,112.234,110.34
22-01-2009,112.404,111.228,112.966,110.405
23-01-2009,117.263,114.207,118.282,113.945
26-01-2009,118.961,118.739,119.941,117.433
27-01-2009,117.747,117.263,118.243,117.08
28-01-2009,116.257,116.244,117.642,115.5
29-01-2009,118.413,115.121,118.556,114.742
30-01-2009,121.274,120.411,121.652,119.262
02-02-2009,118.504,118.726,120.503,118.282
03-02-2009,116.584,118.269,119.432,116.297
04-02-2009,117.851,117.355,118.988,117.172
05-02-2009,119.419,120.006,120.999,118.739
06-02-2009,119.432,119.837,120.424,118.269
09-02-2009,116.623,118.217,118.517,116.506
10-02-2009,119.419,118.178,120.137,118.034
11-02-2009,123.377,121.078,123.964,120.046
12-02-2009,123.991,123.377,124.618,122.58
13-02-2009,123.076,122.593,123.298,121.874
16-02-2009,123.076,122.593,123.298,121.874
17-02-2009,126.381,125.976,127.413,125.532
18-02-2009,127.779,126.982,128.04,125.61
19-02-2009,127.557,128.092,128.589,126.877
20-02-2009,130.914,129.673,131.632,129.203
23-02-2009,129.973,128.994,130.574,127.517
24-02-2009,126.642,129.464,130.234,125.427
